Pincode,Place Name,Latitude,Longitude
822128,Ramna,24.25,83.6
822127,Mandal,24.1042,84.1333
822126,Satbarwa,23.9167,84.2667
822125,Rankaraj,24.1042,84.1333
822124,Rahala,24.1042,84.1333
822123,Patan,24.2167,84.1833
822122,Panki,24.0333,84.4833
822121,Nagaruntari,24.1042,84.1333
822120,Mohammedganj,24.1042,84.1333
822119,Mahuadand,24.1083,84.15
822118,Lestinganj,24.1083,84.15
822116,Japla,24.1083,84.15
822115,Hyder Nagar,24.1083,84.15
822114,Garhwa,24.1083,84.15
822113,Chhatarpur,24.3833,84.1833
822112,Bhawnathpur,24.1083,84.15
822111,Barwadih,23.8333,84.1167
822110,Rajchainpur,24.1083,84.15
822102,Daltonganj College,24.1167,84.1238
822101,Daltonganj Ho.,24.1167,84.1238
821317,Nauhatta (Baulia),23.908,85.4865
821316,Karwandia,23.908,85.4865
821312,Tilouthu,23.908,85.4865
821310,Haiharganj,23.908,85.4865
821309,Kachwa,23.908,85.4865
821308,Indrapuri,23.908,85.4865
821307,B M P Camp,23.908,85.4865
821306,Darihat,23.908,85.4865
821305,Dalmianagar,23.908,85.4865
821303,Banjari,23.908,85.4865
821302,Amjhore,23.908,85.4865
821301,Akhouri Bazar,23.908,85.4865
821125,Nauhatta(Sasaram),23.908,85.4865
821119,Darouli (Rohtas),23.908,85.4865
821116,Adhaura,23.908,85.4865
821115,Sasaram Bazar,23.908,85.4865
821113,Takia,23.908,85.4865
821110,Ramgarh(Arrah),23.908,85.4865
821106,Hatta,23.908,85.4865
821104,Chenari,23.908,85.4865
821103,Chainpur (Sasaram),23.908,85.4865
816129,Talijhari,24.1167,87.45
816125,Haripur Barikadarjua,24.1167,87.45
816124,Mohulpahari,24.1167,87.45
816123,Asanbani,24.1167,87.45
816122,Jhikarhatti,24.1167,87.45
816121,Littipara,24.1167,87.45
816120,Boria,24.1167,87.45
816119,Pathana,24.3333,87.65
816117,Pakuria,24.3333,87.65
816116,Tinpahar Rs,24.3333,87.65
816115,Sakrigalighat,24.3333,87.65
816109,Sahibganj,25.25,87.65
816108,Rajmahal,24.75,87.6875
816107,Pakaur,24.75,87.6875
816106,Maheshpurraj,24.75,87.6875
816105,Kotalpakur,24.75,87.6875
816104,Hiranpur,24.7,87.7
816103,Benagaria,24.1833,87.6167
816102,Barahait,24.75,87.6875
816101,Barharwa,24.8667,87.7833
815359,Kundhait,24.1444,86.7611
815357,Karogram,24.1444,86.7611
815356,Sarath,24.2333,86.8333
815355,Nala,24.1444,86.7611
815354,Mihijam,24.1444,86.7611
815353,Madhupur,24.25,86.65
815352,Karmatand,24.1444,86.7611
815351,Jamtara,23.95,86.8
815317,Tisri,24.1444,86.7611
815316,Pachamba,24.1444,86.7611
815315,Mirzaganj,24.1444,86.7611
815314,Kharagdiha,24.1444,86.7611
815313,Ganwan,24.1444,86.7611
815312,Bengabad,24.1444,86.7611
815311,Beniadih,24.1444,86.7611
815301,Bhandaridah,24.1444,86.7611
814166,Fatehpur(Dumka),24.5222,85.4722
814165,Lalmatia Colleiry,24.5222,85.4722
